gene_id,S2-12h,S2-24h,S2-Oh,S3-12h,S3-24h,S3-Oh,W2-12h,W2-24h,W2-Oh,W3-12h,W3-24h,W3-Oh
gene:Zm00001d037687,548,993,783,634,742,436,28,50,83,21,120,88
gene:Zm00001d037680,610,604,1386,132,132,102,1096,1287,457,2000,917,1409
gene:Zm00001d037681,103,42,19,0,0,0,58,32,38,77,82,154
gene:Zm00001d037682,532,598,1551,2947,869,2221,1962,457,1771,1124,2542,2195
gene:Zm00001d037683,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d027378,1,0,0,0,0,5,0,3,1,1,2,6
gene:Zm00001d030087,875,706,960,1522,927,1185,647,313,448,436,1076,891
gene:Zm00001d030086,892,671,568,899,502,315,1397,1025,564,694,789,303
gene:Zm00001d048166,8,44,19,30,7,50,16,50,139,22,199,108
gene:Zm00001d030083,542,309,772,973,559,949,619,175,418,479,687,985
gene:Zm00001d030080,476,615,1198,525,382,552,721,638,828,378,768,1032
gene:Zm00001d030088,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d019091,10010,15837,26601,10286,9732,14963,10534,12890,9170,5663,10509,11013
gene:Zm00001d027958,146,1321,270,464,1134,307,0,0,0,0,0,5
gene:Zm00001d027951,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d027950,976,691,1902,1221,847,1376,1279,924,991,812,1033,1262
gene:Zm00001d027955,6338,17000,15733,7777,6764,5963,3754,3212,3592,1430,3546,2759
gene:Zm00001d027954,914,349,1240,1515,680,1478,1276,583,465,826,1215,1118
gene:Zm00001d027957,15357,46408,40276,25650,21174,18260,6435,5924,7273,2778,4541,6949
gene:Zm00001d027956,0,0,0,0,493,0,884,0,0,638,0,799
gene:Zm00001d034439,80,61,82,80,88,60,88,92,53,60,50,62
gene:Zm00001d026398,1775,2439,1756,1642,1852,1173,534,646,395,430,762,579
gene:Zm00001d026399,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d042094,11,84,6,78,28,18,46,56,45,37,74,81
gene:Zm00001d026390,6,9,13,22,11,19,0,4,0,0,0,10
